LR: 0.1, DF: 0, DRT: 0.001
findfont: Matching :family=sans-serif:style=normal:variant=normal:weight=normal:stretch=normal:size=10.0 to DejaVu Sans ('/usr/local/lib/python3.5/dist-packages/matplotlib/mpl-data/fonts/ttf/DejaVuSans.ttf') with score of 0.050000
findfont: Matching :family=sans-serif:style=normal:variant=normal:weight=normal:stretch=normal:size=12.0 to DejaVu Sans ('/usr/local/lib/python3.5/dist-packages/matplotlib/mpl-data/fonts/ttf/DejaVuSans.ttf') with score of 0.050000
[Epoch 042/100]	Epsilon:0.2929	#Expl.:1281/4299	#Buy:850	#Sell:2540	#Hold:909	#Stocks:  0.541186	PV:   7292.05	POS:529	NEG:3146	Loss:  0.049358
[Epoch 043/100]	Epsilon:0.2879	#Expl.:1226/4299	#Buy:928	#Sell:2677	#Hold:694	#Stocks:  0.000000	PV:   5503.69	POS:543	NEG:3083	Loss:  0.044544
[Epoch 044/100]	Epsilon:0.2828	#Expl.:1189/4299	#Buy:1139	#Sell:2258	#Hold:902	#Stocks:  0.055800	PV:   3767.19	POS:716	NEG:2768	Loss:  0.051017
[Epoch 045/100]	Epsilon:0.2778	#Expl.:1163/4299	#Buy:1106	#Sell:2426	#Hold:767	#Stocks:  0.000004	PV:   3752.09	POS:711	NEG:2757	Loss:  0.046409
[Epoch 046/100]	Epsilon:0.2727	#Expl.:1136/4299	#Buy:501	#Sell:2537	#Hold:1261	#Stocks:  0.005449	PV:   5295.76	POS:513	NEG:3142	Loss:  0.050044
[Epoch 047/100]	Epsilon:0.2677	#Expl.:1085/4299	#Buy:965	#Sell:2866	#Hold:468	#Stocks:  0.000000	PV:   6448.80	POS:505	NEG:3195	Loss:  0.044408
[Epoch 048/100]	Epsilon:0.2626	#Expl.:1107/4299	#Buy:407	#Sell:3401	#Hold:491	#Stocks:  0.429080	PV:   4659.79	POS:189	NEG:3742	Loss:  0.036868
[Epoch 049/100]	Epsilon:0.2576	#Expl.:1106/4299	#Buy:1179	#Sell:1684	#Hold:1436	#Stocks:  0.102760	PV:   8171.52	POS:942	NEG:2286	Loss:  0.061029
[Epoch 050/100]	Epsilon:0.2525	#Expl.:1106/4299	#Buy:1169	#Sell:1637	#Hold:1493	#Stocks:  0.000002	PV:   4233.98	POS:1009	NEG:2170	Loss:  0.059882
[Epoch 051/100]	Epsilon:0.2475	#Expl.:1101/4299	#Buy:2269	#Sell:1249	#Hold:781	#Stocks:  0.000165	PV:   4427.98	POS:1297	NEG:1644	Loss:  0.056167
[Epoch 052/100]	Epsilon:0.2424	#Expl.:1066/4299	#Buy:2721	#Sell:676	#Hold:902	#Stocks:  0.565550	PV:   3958.01	POS:1563	NEG:1097	Loss:  0.069821
[Epoch 053/100]	Epsilon:0.2374	#Expl.:985/4299	#Buy:2699	#Sell:982	#Hold:618	#Stocks:  0.000000	PV:   2958.23	POS:1429	NEG:1348	Loss:  0.057626
[Epoch 054/100]	Epsilon:0.2323	#Expl.:1018/4299	#Buy:1837	#Sell:1270	#Hold:1192	#Stocks:  0.711019	PV:   4543.48	POS:1253	NEG:1729	Loss:  0.062320
[Epoch 055/100]	Epsilon:0.2273	#Expl.:969/4299	#Buy:3438	#Sell:445	#Hold:416	#Stocks:  0.455604	PV:   2911.34	POS:1735	NEG:759	Loss:  0.068600
[Epoch 056/100]	Epsilon:0.2222	#Expl.:966/4299	#Buy:2168	#Sell:1424	#Hold:707	#Stocks:  0.645624	PV:   4221.29	POS:1225	NEG:1734	Loss:  0.056432
[Epoch 057/100]	Epsilon:0.2172	#Expl.:955/4299	#Buy:2459	#Sell:1260	#Hold:580	#Stocks:  0.000000	PV:   4702.56	POS:1345	NEG:1551	Loss:  0.055795
[Epoch 058/100]	Epsilon:0.2121	#Expl.:905/4299	#Buy:3123	#Sell:782	#Hold:394	#Stocks:  0.000000	PV:   4290.43	POS:1567	NEG:1108	Loss:  0.061997
